name,ideology,ideology_icon,city,state,is_statewide,is_headquarters,group,latitude,longitude,ideology_link,group_link,latitude_longitude_appended
Tony Alamo Christian Ministries,General Hate,other,Santa Clarita,California,FALSE,FALSE,,34.5,-118.36,https://www.splcenter.org/fighting-hate/extremist-files/ideology/general-hate,,"34.5, -118.36"
Verity Baptist Church,Anti-LGBT,anti-lgbt,Sacramento,California,FALSE,TRUE,,38.64,-121.47,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt,,"38.64, -121.47"
The Daily Stormer,Neo-Nazi,neo-nazi,Los Angeles,California,FALSE,FALSE,,34.05,-118.24,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"34.05, -118.24"
The Daily Stormer,Neo-Nazi,neo-nazi,Santa Monica,California,FALSE,FALSE,,34.01,-118.49,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"34.01, -118.49"
Identity Evropa,White Nationalist,white-nationalist,Oakdale,California,FALSE,TRUE,,37.76,-120.85,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"37.76, -120.85"
ACT for America,Anti-Muslim,anti-muslim,Corona,California,FALSE,FALSE,,33.87,-117.56,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"33.87, -117.56"
ACT for America,Anti-Muslim,anti-muslim,Mission Viejo,California,FALSE,FALSE,,33.6,-117.67,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"33.6, -117.67"
Loyal White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Anaheim,California,FALSE,FALSE,,33.83,-117.91,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"33.83, -117.91"
Loyal White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,San Francisco,California,FALSE,FALSE,,37.77,-122.41,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"37.77, -122.41"
Pacific Coast Knights of the Ku Klux Klan,Ku Klux Klan,kkk,,California,TRUE,TRUE,,36.77,-119.41,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"36.77, -119.41"
